title,overview,vote_average
Some Film by Guru Dutt,"Inspired by Tennessee Williams' short story ""Something by Tolstoi,"" this movie is about a cinema projectionist whose wife decides to leave him so she can become a well-known actress in the movie business. The projectionist had been rewriting the happy endings of Bollywood tragedy films since he was a young boy. He was a closet writer. Despite his talent, he lacked the confidence to survive outside his movie theatre. The projectionist loses all control as he creates a variety of happy endings for his love tale in an effort to win back his wife. After a decade, fate steps in and brings his wife back. However, he has forgotten who she is and what he has been looking forward to for all these years.",0.0
Leave It to Me,The owner of a professional help agency poses as a poet at a wealthy patron's ball and prevents a necklace from being stolen by thieves.,0.0
Lisa and the Other Woman,A rich girl leaves her family to avoid marrying the person her father has chosen for her. Her father offers a reward in order to find her and an other girl that looks exactly like her is brought to him.,5.6
Daimon Graveyard 5,The fifth 'Daimon Graveyard' film.,8.0
TrailBlayzer: The Alundra Blayze Story,"After blazing a trail for women in the ring and in monster trucks, Alundra Blayze finally returns to WWE in an emotional reunion and career retrospective. Nearly 20 years after dropping the WWE Women’s Championship in the garbage on national television, Blayze's legacy is immortalized by her induction into the WWE Hall of Fame.",0.0
State Fair,"Melissa and Jim Bryant live on an Iowa farm with their adult son Chuck, their adult daughter Karen, and their teenage son Wayne, who is a high school sophomore. Wayne is a talented singer and guitarist who dreams of country music stardom. Karen, newly separated from her husband, has recently rejoined the family with her own young son Tommy, who misses his father. This was a pilot film for a proposed television series that was not picked up.",0.0
The Circumstance,"Laura, a woman of a certain age with full grown children who, by all indications should be leading a great life, but actually, she appears to have none. She comes from a wealthy family. Laura has made herself a lawyer with a nice practice. Her placid existence comes to an abrupt stop when a young motorcyclist suffers an accident almost in front o her. Laura is made to take the youth to the hospital. The incident will change the way she looks at things. Laura becomes obsessed with the young man that was almost killed.",6.5
Generation Gap,"When a rebellious teenager is forced to spend the summer with his grandfather, their differences go deeper than just the years that separate them.",7.2
The Visit,"In her teens, Mme. Zachanassian had to flee her home town in disgrace. Now she's old and rich and the town is facing bankruptcy. But she returns with news that she wants to help - as long as the townsfolk kill someone for her.",6.8
De kloge og vi gale,"Composer Jørgen Rhoders lives an easy life, at least according to his son Per. Per and his stepsister, Ulla, decide to give their father a little trouble so that his compositions will improve. However, Jørgen deceives the children, and only when the children cause their parents to fall out does the situation seem to improve. Meanwhile, Ulla believes that Per is in love with Lily.",5.5
Tom Waits: Glitter and Doom Concert Experience,"A compilation of professional footage and fan films to reconstruct an entire Tom Waits concert from his """"Glitter and Doom Tour"""" of 2008.",0.0
"Bed for Day, Bed for Night","Karno and Dina, grow up in a large fisherman village, and have carried on an affair till she is pregnant. Embarrassed, they leave for the city. Karno works as a truck driver and Dina becomes a tailor.",0.0
Playboy: How to Reawaken Your Sexual Powers,Couples learn how to reawaken their sexual desires.,1.0
Dancing with Jikji,"Traveling to the French National Library to see Jikji, the world’s oldest movable metal type book printed in Korea, a Canadian, David Redman discovers no one knows anything about the book printed in Korea in 1377! Realizing Eurocentrism is at play, David off sets off on a journey through Europe and Korea with Sarang Ness and the Jikji team to find how the print technology transferred from 13th Century Goryeo to Europe.",6.0
My Son Johnny,"Anthony Cortino lives with his mother in a quiet suburb. His father is dead, and his violent criminal brother is a long way off, in the city, and if Anthony has his way, that's where he will stay. However, Johnny runs into trouble with the police in the city, and when he asks to come home, his mother agrees, despite Anthony's objections. A reign of terror begins for Anthony then, for as long as Johnny is around, Anthony is never safe, and never has been.",5.2
Amaanat,A woman utilizes the help of a stranger to help search for her husband during which they begin to face some harsh realities.,0.0
Beyond,"When a rock fall traps his parents inside a burning car, a 7 year-old boy must find the hero within him in order to save their lives.",7.0
"Calabria, terra mia",A loving couple spends a vacation among the beauty of Calabria.,2.0
Maa Aamar Maa,A mother who is ill-treated by her husband and relatives is forced to abandon her newborn. She's relieved when the boy is adopted by loving parents and watches him grow up to be a handsome young man.,0.0
Louis Theroux: America's Medicated Kids,"Faced with the challenging behaviour of their kids, more and more parents in America are turning to psychoactive medication to help them cope, even though the drugs, and sometimes the diagnoses, remain controversial. Louis travels to one of America's leading children's psychiatric treatment centres, in Pittsburgh, Pennsylvania, to get to know the diagnosed children and hoping to understand what drives parents to put their kids on drugs.",6.9
Hire a Filmmaker,A desperate person makes a video resume to try and attract potential clients. A parody of dating videos.,0.0
The Executioner,"Cellat, the Turkish version of Death Wish, sticks fairly close plot wise to the template of the American film, with some scenes and bits of dialogue being almost identical. However, it also deviates from its inspiration at times and is at its most interesting and valuable in these little moments, providing lurid snapshots of a place and a culture.",4.0
Find Me Falling,"After a failed comeback album, a rock star retreats to a cliffside home on Cyprus, only to find his new life complicated by visitors — and an old flame.",6.6
The Chalk Line,"After a couple finds a traumatized child of unknown origins, wife Paula must decipher the girl's strange behaviors to unlock her identity and dark past.",6.4
The Vanishing Westerner,"Posing as wanted men, Chris and Waldorf get hired by Sanderson. He sends them to kill the Sheriff but puts blanks in their guns. When they arrive someone else shoots the Sheriff and Chris is blamed and jailed. The Sheriff's brother then incites the mob to hang Chris.",2.0
